fold num,imgid,label,feature1,feature2,feature3
0,0055dd26-23a7-4415-ac61-e0b44ebfaf80___RS_HL 5672_final_masked.jpg,0,129,0,855.1757488
1,00907d8b-6ae6-4306-bfd7-d54471981a86___RS_HL 5709_final_masked.jpg,0,160,0,1310.597103
2,0098dbd9-286a-4d6a-bf4b-5459d66f88c0___RS_HL 5776_final_masked.jpg,0,69,0,633.3868639
3,00a6039c-e425-4f7d-81b1-d6b0e668517e___RS_HL 7669_final_masked.jpg,0,178,0,1328.479352
4,00fca0da-2db3-481b-b98a-9b67bb7b105c___RS_HL 7708_final_masked.jpg,0,159,0,1283.366655
5,010125c0-e6f2-4f3d-b469-dd98ffecbb01___RS_HL 7948_final_masked.jpg,0,20049.5,0,701.3107439
6,011d02f3-5c3c-4484-a384-b1a0a0dbdec1___RS_HL 7544_final_masked.jpg,0,140,0,1409.283394
8,017fd21b-142f-4988-849a-5fd316ea9a1b___RS_HL 6279_final_masked.jpg,0,143,0,1057.401145
9,0181db4e-718e-41bc-b6ed-92863471fa85___RS_HL 5941_final_masked.jpg,0,151.5,0,809.5605248
1,01b32971-5125-4982-98e2-22daa9ae864a___RS_HL 7977_final_masked.jpg,0,130.5,0,763.9625458
2,01efa999-757d-487e-8250-27c7854c0ca8___RS_HL 7515_final_masked.jpg,0,172.5,0,1381.408285
3,022b515d-41fd-448e-abac-e8722c32d864___RS_HL 8131_final_masked.jpg,0,164.5,0,1591.491545
4,023810b0-18e6-4352-9dfa-c2f4c034cda5___RS_HL 7538_final_masked.jpg,0,157,0,1058.513842
5,02720439-ecbd-4c7a-9382-4c8156b6f15b___RS_HL 5918_final_masked.jpg,0,98.5,0,617.7960252
6,02847045-4405-467c-9ccb-7ba2ab1d574c___RS_HL 5943_final_masked.jpg,0,23226.5,0,706.3401815
7,02a0f44c-9cbe-4a2e-9710-296692635ec6___RS_HL 5789_final_masked.jpg,0,34.5,0,343.3208486
8,02cd3257-a42f-4fbc-8056-a41d5aabfbc3___RS_HL 8029_final_masked.jpg,0,99,0,651.6955199
9,02d0257a-d21a-43a4-9348-472043df801e___RS_HL 6065_final_masked.jpg,0,75.5,0,717.369619
1,03109942-bfa2-4728-b375-4f02a95957de___RS_HL 8066_final_masked.jpg,0,183,0,1159.165644
2,03152113-855b-4eab-8a4f-7d78d92240d0___RS_HL 5838_final_masked.jpg,0,132.5,0,828.2468165
3,036e9351-118e-4795-9f80-74c369b98c88___RS_HL 7513_final_masked.jpg,0,71.5,0,638.0559107
4,039d297c-374b-47cd-bed1-a94ac757eb8b___RS_HL 7612_final_masked.jpg,0,153.5,0,1271.266149
